name,id,folderId
EMT_EMK_XXXX_All_LAB_All_All_All_ApplicationProgram,195,6456
EMT_EMK_XXXX_All_All_IND/PRO/PI/TLA_All_All_App1_Split,201,6456
EMT_EMK_XXXX_All_All_PRO_All_All_App1,235,6456
EMT_EMK_1405_All_MPE_All_All_All_All_Welcome_Split_until 2026,613,6886
EMT_EMK_1405_CA(FR)_MPE_All_All_All_All_Welcome,806,6886
EMT_EMK_1405_CA(EN)_MPE_All_All_All_All_Welcome,808,6886
EMT_EMK_1405_US_MPE_All_All_All_All_Welcome,809,6886
EMT_EMK_1405_ROW_MPE_All_All_All_All_Welcome,810,6886
EMT_EMK_1405_AP_MPE_All_All_All_All_Welcome,811,6886
EMT_EMK_1405_CN_MPE_All_All_All_All_Welcome,812,6886
EMT_EMK_1405_KR_MPE_All_All_All_All_Welcome,813,6886
EMT_EMK_1405_JP_MPE_All_All_All_All_Welcome,814,6886
EMT_EMK_1405_IT_MPE_All_All_All_All_Welcome,815,6886
EMT_EMK_1405_FR_MPE_All_All_All_All_Welcome,816,6886
EMT_EMK_1405_DE_MPE_All_All_All_All_Welcome,817,6886
EMT_EMK_1405_NL_MPE_All_All_All_All_Welcome,818,6886
EMT_EMK_1405_ES_MPE_All_All_All_All_Welcome,819,6886
EMT_EMK_XXXX_NA_TLH_All_All_All_All_Welcome,939,7993
EMT_EMK_XXXX_All_TLH_All_All_All_All_WelcomeLanguageSplit,941,7993
EMT_EMK_XXXX_AP_TLH_All_All_All_All_Welcome,942,7993
EMT_EMK_XXXX_ROW_TLH_All_All_All_All_Welcome,943,7993
EMT_EMK_1410_EN_PAB_All_All_All_All_Welcome,1240,6220
EMT_EMK_1410_FR_PAB_All_All_All_All_Welcome,1254,6220
EMT_EMK_1410_DE_PAB_All_All_All_All_Welcome,1255,6220
EMT_EMK_1410_IT_PAB_All_All_All_All_Welcome,1256,6220
EMT_EMK_1410_ES_PAB_All_All_All_All_Welcome,1257,6220
EMT_EMK_1410_PT_PAB_All_All_All_All_Welcome,1258,6220
EMT_EMK_1410_PL_PAB_All_All_All_All_Welcome,1259,6220
EMT_EMK_1410_NL_PAB_All_All_All_All_Welcome,1260,6220
EMT_EMK_1410_DK_PAB_All_All_All_All_Welcome,1261,6220
EMT_EMK_1410_SE_PAB_All_All_All_All_Welcome,1262,6220
EMT_EMK_1410_TK_PAB_All_All_All_All_Welcome,1263,6220
EMT_EMK_1410_RU_PAB_All_All_All_All_Welcome,1264,6220
EMT_EMK_1410_CN_PAB_All_All_All_All_Welcome,1265,6220
EMT_EMK_1410_TW_PAB_All_All_All_All_Welcome,1266,6220
EMT_EMK_1410_JA_PAB_All_All_All_All_Welcome,1267,6220
EMT_EMK_1410_KR_PAB_All_All_All_All_Welcome,1268,6220
EMT_EMK_1410_TH_PAB_All_All_All_All_Welcome,1269,6220
EMT_EMK_XXXX_All_TLH_All_All_All_All_NurturingLanguageSplit,1622,9382
EMT_EMK_1503_EN_PAB_All_LAB_All_All_Nurt,1649,17387
EMT_EMK_1503_All_PAB_All_All_All_All_Nurt_Split,1650,6611
EMT_EMK_1503_EN_PAB_All_PRO/PI/IND/TLA_All_All_Nurt,1651,17388
EMT_EMK_XXXX_All_All_LAB_PIP_PIP_All_PipetteNurturing,1653,9477
EMT_EMK_XXXX_All_All_LAB_ACH_ACH_All_AutoChemNurturing,1654,9477
EMT_EMK_XXXX_All_All_LAB_LWE_LWS_All_LWENurturing,1655,9477
EMT_EMK_XXXX_All_All_LAB_ANA_LAI_All_ANANurturing,1656,9477
EMT_EMK_XXXX_All_MAM_LAB_All_All_All_MiningNurturing,1657,9477
EMT_EMK_XXXX_All_All_TLA_All_All_TLANurturing,1659,9477
EMT_EMK_XXXX_All_All_IND_All_All_INDNurturing,1663,9477
EMT_EMK_XXXX_All_All_PI_All_All_PINurturing,1664,9477
MPL_1707_All_All_All_All_All_All_SRYNurt,1748,10375
MPL_1707_All_All_All_All_All_All_SRYNurt,1748,10375
EMT_EMK_1405_AU/NZ_MPE_All_All_All_All_Welcome,1831,6886
EMT_EMK_1405_PL_MPE_All_All_All_All_Welcome,1832,6886
EMT_EMK_1405_PT_MPE_All_All_All_All_Welcome,1833,6886
EMT_EMK_1503_IT_PAB_All_LAB_All_All_Nurt,2013,17387
EMT_EMK_1503_IT_PAB_All_PRO/PI/IND/TLA_All_All_Nurt,2014,17388
EMT_EMK_XXXX_DE_TLH_All_All_All_All_Welcome,2040,7993
EMT_EMK_XXXX_ES_TLH_All_All_All_All_Welcome,2043,7993
EMT_EMK_XXXX_IT_TLH_All_All_All_All_Welcome,2044,7993
EMT_EMK_XXXX_PT_TLH_All_All_All_All_Welcome,2045,7993
EMT_EMK_XXXX_FR_TLH_All_All_All_All_Welcome,2046,7993
EMT_EMK_XXXX_CN_TLH_All_All_All_All_Welcome,2047,7993
EMT_EMK_XXXX_JP_TLH_All_All_All_All_Welcome,2048,7993
EMT_EMK_XXXX_CA(FR)_TLH_All_All_All_All_Welcome,2121,7993
EMT_EMK_1503_FR_PAB_All_LAB_All_All_Nurt,2122,17387
EMT_EMK_1503_DE_PAB_All_LAB_All_All_Nurt,2123,17387
EMT_EMK_1503_ES_PAB_All_LAB_All_All_Nurt,2124,17387
EMT_EMK_1503_PT_PAB_All_LAB_All_All_Nurt,2125,17387
EMT_EMK_1503_NL_PAB_All_LAB_All_All_Nurt,2126,17387
EMT_EMK_1503_JP_PAB_All_LAB_All_All_Nurt,2127,17387
EMT_EMK_1503_CN_PAB_All_LAB_All_All_Nurt,2128,17387
EMT_EMK_1503_FR_PAB_All_PRO/PI/IND/TLA_All_All_Nurt,2129,17388
EMT_EMK_1503_DE_PAB_All_PRO/PI/IND/TLA_All_All_Nurt,2130,17388
EMT_EMK_1503_NL_PAB_All_PRO/PI/IND/TLA_All_All_Nurt,2131,17388
EMT_EMK_1503_ES_PAB_All_PRO/PI/IND/TLA_All_All_Nurt,2132,17388
EMT_EMK_1503_PT_PAB_All_PRO/PI/IND/TLA_All_All_Nurt,2133,17388
EMT_EMK_1503_JP_PAB_All_PRO/PI/IND/TLA_All_All_Nurt,2134,17388
EMT_EMK_1503_CN_PAB_All_PRO/PI/IND/TLA_All_All_Nurt,2135,17388
EMT_EMK_1604_All_AAE_All_All_All_All_Nurturing_Split,2539,8575
EMT_EMK_XXXX_All_All_IND_All_All_All_INDAPP1WebsiteVisitTrigger,2559,10576
EMT_EMK_XXXX_All_All_PRO_All_All_All_PROAPP1WebsiteVisitTrigger,2560,10576
EMT_EMK_XXXX_All_All_PI_All_All_All_PIAPP1WebsiteVisitTrigger,2561,10576
EMT_EMK_XXXX_All_All_LAB_PIP_All_All_PIPAPP1WebsiteVisitTrigger,2563,10576
EMT_EMK_XXXX_All_All_LAB_ANA_All_All_ANAAPP1WebsiteVisitTrigger,2571,10576
EMT_EMK_XXXX_All_All_LAB_LWE_All_All_LWEAPP1WebsiteVisitTrigger,2572,10576
EMT_EMK_XXXX_All_All_LAB_ACH_All_All_ACHAPP1WebsiteVisitTrigger,2573,10576
EMT_EMK_1601_All_RAW_All_All_All_All_Welcome,2612,12163
EMT_EMK_1601_US_RAW_All_All_All_All_Welcome,2613,12163
EMT_EMK_1601_CA(EN)_RAW_All_All_All_All_Welcome,2624,12163
EMT_EMK_1601_ROW_RAW_All_All_All_All_Welcome,2625,12163
EMT_EMK_1601_AP_RAW_All_All_All_All_Welcome,2626,12163
EMT_EMK_1601_FR_RAW_All_All_All_All_Welcome,2628,12163
EMT_EMK_1601_AU/NZ_RAW_All_All_All_All_Welcome,2629,12163
EMT_EMK_1601_CA(FR)_RAW_All_All_All_All_Welcome,2630,12163
EMT_EMK_1601_DE_RAW_All_All_All_All_Welcome,2631,12163
EMT_EMK_1601_PT_RAW_All_All_All_All_Welcome,2632,12163
EMT_EMK_1601_IT_RAW_All_All_All_All_Welcome,2633,12163
EMT_EMK_1601_ES_RAW_All_All_All_All_Welcome,2634,12163
EMT_EMK_1601_NL_RAW_All_All_All_All_Welcome,2635,12163
EMT_EMK_1601_PL_RAW_All_All_All_All_Welcome,2636,12163
EMT_EMK_1601_KR_RAW_All_All_All_All_Welcome,2637,12163
EMT_EMK_1601_JP_RAW_All_All_All_All_Welcome,2638,12163
EMT_EMK_1601_CN_RAW_All_All_All_All_Welcome,2639,12163
EMT_EMK_XXXX_All_All_All_All_All_All_ApplicationNurturing(Updated),2649,9477
EMT_EMK_XXXX_All_All_All_PRO_All_All_PRONurturing(Updated),2650,9477
EMT_EMK_1602_All_AAE_All_All_All_All_Welcome_Split,2678,9393
EMT_EMK_1602_EN_AAE_All_All_All_All_Welcome,2679,9393
EMT_EMK_1602_DE_AAE_All_All_All_All_Welcome,2680,9393
EMT_EMK_1602_FR_AAE_All_All_All_All_Welcome,2681,9393
EMT_EMK_1602_ES_AAE_All_All_All_All_Welcome,2682,9393
EMT_EMK_1602_PT_AAE_All_All_All_All_Welcome,2683,9393
EMT_EMK_1602_IT_AAE_All_All_All_All_Welcome,2684,9393
EMT_EMK_1602_PL_AAE_All_All_All_All_Welcome,2685,9393
EMT_EMK_1602_NL_AAE_All_All_All_All_Welcome,2686,9393
EMT_EMK_1602_SE_AAE_All_All_All_All_Welcome,2687,9393
EMT_EMK_1602_TR_AAE_All_All_All_All_Welcome,2688,9393
EMT_EMK_1602_JP_AAE_All_All_All_All_Welcome,2689,9393
EMT_EMK_1602_CN_AAE_All_All_All_All_Welcome,2690,9393
EMT_EMK_1602_KR_AAE_All_All_All_All_Welcome,2691,9393
EMT_EMK_XXXX_All_All_LAB_All_All_All_NOAPP1_LAB_WebsiteVisitTrigger,2733,10576
EMT_EMK_XXXX_All_All_IND/PRO/PI_All_All_All_NOAPP1_IND/PRO/PI_WebsiteVisitTrigger,2734,10576
SYSTEM - Phone Number Remove Inactive Contacts,2736,13520
SYSTEM - Phone Number Remove Inactive Contacts,2736,13520
SYSTEM  - Email Address Validation (Confirmed),3115,14131
Build email address - Follow-up and finalize,3480,13291
SYSTEM - Click Tracking,3647,16225
SYSTEM - Click Tracking,3647,16225
EMT_EMK_1410_All_PAB_All_All_All_All_Welcome_Split_New,3709,6220
SYSTEM - Lead Scoring - Populating Custom Data Objects,3741,16454
SYSTEM - Lead Scoring - Populating Custom Data Objects,3741,16454
SYSTEM - Phone Number General Cleaning Phone1,3784,13520
EMT_EMK_XXXX_All_All_TLA_All_All_App1_New,3795,6456
SYSTEM - Character encoding for survey links,3796,16528
SYSTEM - Character encoding for survey links,3796,16528
SYSTEM - Phone Number General Cleaning Phone2,3834,13520
EMT_EMK_XXXX_All_All_All_All_All_All_Welcome3,3886,17113
NON_XXXX_All_All_All_All_All_All_Nurturing3,4068,17367
OTH_XXXX_All_All_IND_All_IND_App1_Split,4166,17518
EMT_EMK_XXXX_All_All_All_All_All_All_WebsiteVisitTrigger_New Split,4213,10576
EMT_EMK_1602_CA(FR)_AAE_All_All_All_All_Welcome,4234,9393
MPL_1707_US_AAE_All_All_All_All_Welcome,4235,9393
MPL_1707_CA(EN)_AAE_All_All_All_All_Welcome,4236,9393
MPL_1707_ROW_AAE_All_All_All_All_Welcome,4237,9393
MPL_1707_AP_AAE_All_All_All_All_Welcome,4238,9393
