name,id,folderId,status
EMT_EMK_1401_CA(EN)_All_All_PI_All_All_All_App1,10522,18795,2
EMT_EMK_1311_ROW_All_All_ACH_ACH_All_OrganicSynthesis,7193,4001,1
EMT_EMK_1311_NA_All_All_ACH_ACH_All_OrganicSynthesis,7195,4001,1
EMT_EMK_1311_AP_All_All_ACH_ACH_All_OrganicSynthesis,7196,4001,1
EMT_EMK_1311_AP_All_All_TA_LAI_All_TACard,7200,18077,1
EMT_EMK_1311_NA_All_All_TA_LAI_All_TACard,7201,18077,1
EMT_EMK_1401_US_All_All_PRO_All_All_phGuideUpdated_App1,7209,6438,1
EMT_EMK_1401_ROW_All_All_PRO_All_All_phGuideUpdated_App1,7210,6438,1
EMT_EMK_1401_DE_All_All_PRO_All_All_phGuideUpdated_App1,7211,6438,1
EMT_EMK_1401_FR_All_All_PRO_All_All_phGuideUpdated_App1,7212,6438,1
EMT_EMK_1401_ES_All_All_PRO_All_All_phGuideUpdated_App1,7213,6438,1
EMT_EMK_1401_CN_All_All_PRO_All_All_phGuideUpdated_App1,7214,6438,1
EMT_EMK_1401_PT_All_All_PRO_All_All_phGuideUpdated_App1,7215,6438,1
EMT_EMK_1401_IT_All_All_PRO_All_All_phGuideUpdated_App1,7216,6438,1
EMT_EMK_1401_KR_All_All_PRO_All_All_phGuideUpdated_App1,7217,6438,1
EMT_EMK_1401_JA_All_All_PRO_All_All_phGuideUpdated_App1,7218,6438,1
EMT_EMK_1401_CA(FR)_All_All_PRO_All_All_phGuideUpdated_App1,7457,6438,1
EMT_EMK_1406_ROW_PAB_All_All_All_All_Welcome3,9648,6760,2
EMT_EMK_1406_US_PAB_All_All_All_All_Welcome3Reminder,9650,8190,2
EMT_EMK_1406_ROW_PAB_All_All_All_All_Welcome3Reminder,9651,8190,2
EMT_EMK_1311_CA_All_All_ACH_ACH_All_OrganicSynthesis,9981,4001,1
EMT_EMK_1311_CA_All_All_TA_LAI_All_TACard,9983,18077,1
EMT_EMK_1401_CA(EN)_All_All_PRO_All_All_phGuideUpdated_App1,10020,6438,1
EMT_EMK_1406_CA(EN)_PAB_All_All_All_All_Welcome3,10025,6760,2
EMT_EMK_1406_CA(EN)_PAB_All_All_All_All_Welcome3Reminder,10026,8190,2
MPL_XXXX_CA(EN)_MPE_All_TLA_All_TLA_Nurt1,35801,18711,1
MPL_XXXX_AP_MPE_All_TLA_All_TLA_Nurt1,35802,18711,1
MPL_XXXX_ROW_MPE_All_TLA_All_TLA_Nurt1,35803,18711,1
MPL_XXXX_IN_MPE_All_TLA_All_TLA_Nurt1,35804,18711,1
MPL_XXXX_AU/NZ_MPE_All_TLA_All_TLA_Nurt1,35805,18711,1
MPL_XXXX_FR_MPE_All_TLA_All_TLA_Nurt1,35806,18711,1
MPL_XXXX_CA(FR)_MPE_All_TLA_All_TLA_Nurt1,35808,18711,1
MPL_XXXX_DE_MPE_All_TLA_All_TLA_Nurt1,35811,18711,1
MPL_XXXX_ES_MPE_All_TLA_All_TLA_Nurt1,35813,18711,1
MPL_XXXX_PT_MPE_All_TLA_All_TLA_Nurt1,35815,18711,1
MPL_XXXX_CN_MPE_All_TLA_All_TLA_Nurt1,35816,18711,1
MPL_XXXX_US_MPE_All_PI_All_PI_Nurt1,35824,18714,1
MPL_XXXX_CA(EN)_MPE_All_PI_All_PI_Nurt1,35832,18714,1
MPL_XXXX_AP_MPE_All_PI_All_PI_Nurt1,35833,18714,1
MPL_XXXX_ROW_MPE_All_PI_All_PI_Nurt1,35835,18714,1
MPL_XXXX_IN_MPE_All_PI_All_PI_Nurt1,35836,18714,1
MPL_XXXX_AU/NZ_MPE_All_PI_All_PI_Nurt1,35837,18714,1
MPL_XXXX_US_MPE_All_LAB_All_LAB_Nurt1,35838,18713,1
MPL_XXXX_US_MPE_All_PRO_All_PRO_Nurt1,35839,18712,1
MPL_XXXX_CA(EN)_MPE_All_PRO_All_PRO_Nurt1,35840,18712,1
MPL_XXXX_ROW_MPE_All_PRO_All_PRO_Nurt1,35841,18712,1
MPL_XXXX_AU/NZ_MPE_All_PRO_All_PRO_Nurt1,35842,18712,1
MPL_XXXX_IN_MPE_All_PRO_All_PRO_Nurt1,35843,18712,1
MPL_XXXX_AP_MPE_All_PRO_All_PRO_Nurt1,35844,18712,1
MPL_XXXX_US_MPE_EPD_IND_All_IND_Nurt1,35845,18716,1
MPL_XXXX_CA(EN)_MPE_EPD_IND_All_IND_Nurt1,35846,18716,1
MPL_XXXX_AP_MPE_EPD_IND_All_IND_Nurt1,35847,18716,1
MPL_XXXX_ROW_MPE_EPD_IND_All_IND_Nurt1,35848,18716,1
MPL_XXXX_AU/NZ_MPE_EPD_IND_All_IND_Nurt1,35849,18716,1
MPL_XXXX_IN_MPE_EPD_IND_All_IND_Nurt1,35850,18716,1
MPL_XXXX_CA(EN)_MPE_All_LAB_All_LAB_Nurt1,35851,18713,1
MPL_XXXX_AP_MPE_All_LAB_All_LAB_Nurt1,35852,18713,1
MPL_XXXX_ROW_MPE_All_LAB_All_LAB_Nurt1,35853,18713,1
MPL_XXXX_IN_MPE_All_LAB_All_LAB_Nurt1,35854,18713,1
MPL_XXXX_AU/NZ_MPE_All_LAB_All_LAB_Nurt1,35855,18713,1
BRO_1711_ES_FAB_All_IND_All_IND_App1,35898,6452,1
BRO_1711_CA(EN)_FAB_All_IND_All_IND_App1,35899,6452,1
BRO_1711_AP_FAB_All_IND_All_IND_App1,35900,6452,1
HBK_1710_NL_EME_All_All_All_All_Welcome1,31293,18005,1
HBK_1710_PT_EME_All_All_All_All_Welcome1,31294,18005,1
HBK_1710_US_EME_All_All_All_All_Welcome1,31295,18005,1
MPL_1710_JP_All_All_All_All_PI/PRO/IND_Welcome1,31296,7734,1
MPL_1710_KR_All_All_All_All_PI/PRO/IND_Welcome1,31297,7734,1
ART_1711_US_PAB_All_PRO/PI/IND_All_All_Welcome2,31298,18147,1
MPL_1710_DE_All_All_All_All_PI/PRO/IND_Welcome1,31299,7734,1
LIB_1710_US_All_All_All_All_LAB_Welcome1,31300,7733,1
LIB_1710_CA(EN)_All_All_All_All_LAB_Welcome1,31301,7733,1
LIB_1710_AP_All_All_All_All_LAB_Welcome1,31302,7733,1
LIB_1710_ROW_All_All_All_All_LAB_Welcome1,31303,7733,1
LIB_1710_FR_All_All_All_All_LAB_Welcome1,31304,7733,1
LIB_1710_PT_All_All_All_All_LAB_Welcome1,31305,7733,1
LIB_1710_CA(FR)_All_All_All_All_LAB_Welcome1,31306,7733,1
LIB_1710_ES_All_All_All_All_LAB_Welcome1,31307,7733,1
LIB_1710_IT_All_All_All_All_LAB_Welcome1,31308,7733,1
LIB_1710_DE_All_All_All_All_LAB_Welcome1,31309,7733,1
LIB_1710_JP_All_All_All_All_LAB_Welcome1,31311,7733,1
LIB_1710_KR_All_All_All_All_LAB_Welcome1,31313,7733,1
HBK_1710_CA(EN)_EME_All_All_All_All_Welcome1,31316,18005,1
HBK_1710_AP_EME_All_All_All_All_Welcome1,31317,18005,1
HBK_1710_ROW_EME_All_All_All_All_Welcome1,31318,18005,1
HBK_1710_IN_EME_All_All_All_All_Welcome1,31319,18005,1
HBK_1710_AU/NZ_EME_All_All_All_All_Welcome1,31320,18005,1
