name,id,folderId
SYSTEM - competitor A-B,100037,337
SYSTEM - competitor C-F,100038,337
SYSTEM - competitor G-M,100039,337
SYSTEM - competitor N-R,100040,337
SYSTEM - competitor S-W,100041,337
SYSTEM - competitor X-Z,100042,337
SYSTEM - competitor A-B II,100067,337
SYSTEM - competitor C-F II,100080,337
SYSTEM - competitor G-M II,100081,337
SYSTEM - competitor G-M III,100082,337
SYSTEM - competitor N-R II,100083,337
SYSTEM - competitor S-W II,100085,337
SYSTEM - competitor S-W III,100086,337
SYSTEM - France no-call A-B II,100230,338
SYSTEM - France no-call A-B IV,100232,338
SYSTEM - France no-call C-F,100233,338
SYSTEM - France no-call C-F II,100234,338
SYSTEM - France no-call N-Y II,100238,338
SYSTEM - France no-call N-Y III,100239,338
Received email last 3 weeks,100399,5882
SYSTEM - UK for NO call list programme,100524,255
SYSTEM - No call,100956,529
University of Cambridge - Pharmacology,101136,738
Technische Universität München in Freising,101158,337
SYSTEM - Inactivate_Private emails Germany,101211,337
SYSTEM - competitor A-B III,101241,337
SYSTEM - competitor A-B IV,101243,337
Unsubscribe_companies,101387,337
TM_cold_leads,101393,397
SYSTEM - Wrong countries to normalize or no ISO Country,102062,581
SYSTEM - eLeads_of_the_month,102266,397
IND_KeyWords_Tagging,102631,6849
PRO_KeyWords_Tagging,102632,6849
PI_KeyWords_Tagging,102634,6849
NIH Address,102750,738
Tierklinik de Universität Leipzig,102800,738
SYSTEM - unsubscribed for programme,102901,255
SYSTEM - Contacts not valid for eLead Tagging,104252,533
unsubscribe MT contact,104721,337
System - Inactivate CN Nankai University,104875,8573
SYSTEM - Feeder programme Normalize Company Names - Academia US,105027,255
System - Exclude from E-Mails,105065,8568
SYSTEM - Competitors/Dealers France domain,105069,337
SYSTEM - Feeder programme inactivate Competitors/Dealers FR,105073,337
SYSTEM - Submitted Survey L12M with Wkp,105124,13325
ANA_KeyWords_Tagging,105361,6849
System - Nurturing with APP1 Score,105450,18650
SYSTEM - Inactivate Astellas Pharma,105759,738
SYSTEM - Inactivate Chemgenex AUS,105771,738
System - Academia and Science industry segment (L3) Tagged_contact,107171,255
SYSTEM - Inactivate Statlistics,107363,8573
SYSTEM - Inactivate GreatLists,107364,8573
SYSTEM - Inactivate Advanstar,107365,8573
SYSTEM - Inactivate Pinpoint,107369,8573
SYSTEM - Visited Website Last Day,107420,1259
SYSTEM - Blocked Countries,108223,8573
System - Current Selected in Campaign,108478,1918
SYSTEM - Inactivate Pubmed Finland,109151,8573
Contact is in Second Brand Unsubscribed Group,109507,1595
Contact is in Third Brand Unsubscribed Group,109508,1595
Adhoc - starting filter,109923,1900
